Time_s,Voltage_mV
0.001000,-0.127860
0.002000,-0.130455
0.003000,-0.132726
0.004000,-0.134673
0.005000,-0.132726
0.006000,-0.123642
0.007000,-0.111314
0.008000,-0.103203
0.009000,-0.099310
0.010000,-0.096714
0.011000,-0.096065
0.012000,-0.100607
0.013000,-0.104501
0.014000,-0.102878
0.015000,-0.101905
0.016000,-0.101905
0.017000,-0.095741
0.018000,-0.092172
0.019000,-0.095092
0.020000,-0.094119
0.021000,-0.092497
0.022000,-0.093470
0.023000,-0.096065
0.024000,-0.088928
0.025000,-0.081791
0.026000,-0.084386
0.027000,-0.089577
0.028000,-0.083088
0.029000,-0.074978
0.030000,-0.076275
0.031000,-0.082115
0.032000,-0.098661
0.033000,-0.104825
0.034000,-0.102878
0.035000,-0.102878
0.036000,-0.114558
0.037000,-0.129806
0.038000,-0.138890
0.039000,-0.133375
0.040000,-0.125913
0.041000,-0.124291
0.042000,-0.130779
0.043000,-0.138566
0.044000,-0.139539
0.045000,-0.138566
0.046000,-0.135646
0.047000,-0.133050
0.048000,-0.132402
0.049000,-0.130455
0.050000,-0.129157
0.051000,-0.131104
0.052000,-0.137592
0.053000,-0.141810
0.054000,-0.136944
0.055000,-0.133050
0.056000,-0.141486
0.057000,-0.150245
0.058000,-0.153489
0.059000,-0.148623
0.060000,-0.136944
0.061000,-0.122020
0.062000,-0.106123
0.063000,-0.094768
0.064000,-0.089577
0.065000,-0.088279
0.066000,-0.088279
0.067000,-0.094119
0.068000,-0.092821
0.069000,-0.091199
0.070000,-0.093146
0.071000,-0.091848
0.072000,-0.090875
0.073000,-0.084062
0.074000,-0.081791
0.075000,-0.075302
0.076000,-0.064596
0.077000,-0.045130
0.078000,-0.015931
0.079000,0.016187
0.080000,0.060310
0.081000,0.087562
0.082000,0.108325
0.083000,0.124871
0.084000,0.127791
0.085000,0.123249
0.086000,0.120005
0.087000,0.117085
0.088000,0.110921
0.089000,0.095672
0.090000,0.086588
0.091000,0.080100
0.092000,0.068745
0.093000,0.059985
0.094000,0.050252
0.095000,0.032733
0.096000,0.002237
0.097000,-0.027611
0.098000,-0.051943
0.099000,-0.071409
0.100000,-0.086657
0.101000,-0.102230
0.102000,-0.112287
0.103000,-0.111638
0.104000,-0.111638
0.105000,-0.123966
0.106000,-0.130455
0.107000,-0.134024
0.108000,-0.135970
0.109000,-0.144730
0.110000,-0.166142
0.111000,-0.187879
0.112000,-0.200207
0.113000,-0.206696
0.114000,-0.210265
0.115000,-0.209616
0.116000,-0.202803
0.117000,-0.194692
0.118000,-0.197287
0.119000,-0.196963
0.120000,-0.193070
0.121000,-0.192745
0.122000,-0.199883
0.123000,-0.211887
0.124000,-0.224215
0.125000,-0.235570
0.126000,-0.235246
0.127000,-0.229082
0.128000,-0.225837
0.129000,-0.230055
0.130000,-0.234272
0.131000,-0.238814
0.132000,-0.238166
0.133000,-0.242059
0.134000,-0.246601
0.135000,-0.249196
0.136000,-0.239139
0.137000,-0.226162
0.138000,-0.214807
0.139000,-0.216104
0.140000,-0.219673
0.141000,-0.223242
0.142000,-0.224540
0.143000,-0.224540
0.144000,-0.229406
0.145000,-0.224540
0.146000,-0.216753
0.147000,-0.210913
0.148000,-0.209616
0.149000,-0.201181
0.150000,-0.190799
0.151000,-0.190474
0.152000,-0.181715
0.153000,-0.184635
0.154000,-0.188528
0.155000,-0.186906
0.156000,-0.186906
0.157000,-0.192097
0.158000,-0.194368
0.159000,-0.187879
0.160000,-0.175875
0.161000,-0.167764
0.162000,-0.169387
0.163000,-0.190150
0.164000,-0.234597
0.165000,-0.298509
0.166000,-0.373128
0.167000,-0.487003
0.168000,-0.657004
0.169000,-0.856528
0.170000,-1.057349
0.171000,-1.242274
0.172000,-1.376587
0.173000,-1.442122
0.174000,-1.440824
0.175000,-1.353553
0.176000,-1.197178
0.177000,-0.966834
0.178000,-0.658950
0.179000,-0.267364
0.180000,0.196570
0.181000,0.673482
0.182000,1.152990
0.183000,1.617899
0.184000,2.011758
0.185000,2.369930
0.186000,2.664513
0.187000,2.855604
0.188000,2.974994
0.189000,2.998678
0.190000,2.877016
0.191000,2.625257
0.192000,2.289471
0.193000,1.917673
0.194000,1.539062
0.195000,1.176998
0.196000,0.829533
0.197000,0.538195
0.198000,0.316609
0.199000,0.160234
0.200000,0.081073
0.201000,0.052848
0.202000,0.044737
0.203000,0.049279
0.204000,0.049603
0.205000,0.039546
0.206000,0.020080
0.207000,-0.001656
0.208000,-0.024042
0.209000,-0.050970
0.210000,-0.072707
